Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
BP562,Afterbern,Debut,Big Pixel Battlefoil,Steel,SP,150,Bernie Kosar,0,
BP563,Sack King,Debut,Big Pixel Battlefoil,Steel,SP,150,Bruce Smith,0,
BP564,Incredible Faulk,Debut,Big Pixel Battlefoil,Steel,SP,150,Marshall Faulk,0,
BP565,Mann-O-War,Debut,Big Pixel Battlefoil,Steel,SP,150,Charles Mann,0,
BP566,Timmy,Tecmo Bowl,Big Pixel Battlefoil,Steel,SP,145,Tim Brown,0,
BP567,Haley's Comet,Debut,Big Pixel Battlefoil,Steel,SP,145,Charles Haley,0,
BP568,Ickey,Debut,Big Pixel Battlefoil,Steel,SP,145,Ickey Woods,0,
BP569,Full Moon,Debut,Big Pixel Battlefoil,Steel,SP,145,Warren Moon,0,
BP570,Philament,Debut,Big Pixel Battlefoil,Steel,SP,145,Phil Simms,0,
BP571,Key Keeper,Debut,Big Pixel Battlefoil,Steel,SP,145,Luke Kuechly,0,
BP572,T.D.,Debut,Big Pixel Battlefoil,Steel,SP,145,Tony Dorsett,0,
BP573,Sterling,Tecmo Bowl,Big Pixel Battlefoil,Steel,SP,140,Sterling Sharpe,0,
BP574,Too Tall,Debut,Big Pixel Battlefoil,Steel,SP,140,"Ed ""Too Tall"" Jones",0,
BP575,Fridge,Debut,Big Pixel Battlefoil,Steel,SP,140,William Perry,0,
BP576,Samurai Mike,Debut,Big Pixel Battlefoil,Steel,SP,140,Mike Singletary,0,
BP577,Monk,Debut,Big Pixel Battlefoil,Steel,SP,140,Art Monk,0,
BP578,Krieghawk,Debut,Big Pixel Battlefoil,Steel,SP,140,Dave Krieg,0,
BP579,Undrafted Wrecking Ball,Debut,Big Pixel Battlefoil,Steel,SP,140,Gary Clark,0,
BP580,Highjump,Debut,Big Pixel Battlefoil,Steel,SP,140,Alonzo Highsmith,0,
BP581,Curt Locker,Debut,Big Pixel Battlefoil,Steel,SP,140,Curt Warner,0,
BP582,Calf Roper,Debut,Big Pixel Battlefoil,Steel,SP,135,Eric Metcalf,0,
BP583,Novacaine,Debut,Big Pixel Battlefoil,Steel,SP,135,Jay Novacek,0,
BP584,Carrier,Debut,Big Pixel Battlefoil,Steel,SP,135,Mark Carrier,0,
BP585,Amigo One,Debut,Big Pixel Battlefoil,Steel,SP,135,Mark Jackson,0,
BP586,Quick Draw,Debut,Big Pixel Battlefoil,Steel,SP,135,Mike Quick,0,
BP587,Bank Robber,Debut,Big Pixel Battlefoil,Steel,SP,135,Carl Banks,0,
BP588,Claymore,Debut,Big Pixel Battlefoil,Steel,SP,135,Clay Matthews Jr.,0,
BP589,Biscuit,Debut,Big Pixel Battlefoil,Steel,SP,135,Cornelius Bennett,0,
BP590,Underdoug,Debut,Big Pixel Battlefoil,Steel,SP,135,Doug Williams,0,
BP591,Mountain Drew,Debut,Big Pixel Battlefoil,Steel,SP,130,Drew Bledsoe,0,
BP592,Dwight Noise,Debut,Big Pixel Battlefoil,Steel,SP,130,Dwight Stephenson,0,
BP593,Green Light,Debut,Big Pixel Battlefoil,Steel,SP,130,Harold Green,0,
BP594,K-Mack,Debut,Big Pixel Battlefoil,Steel,SP,130,Kevin Mack,0,
BP595,Pepper Spray,Debut,Big Pixel Battlefoil,Steel,SP,130,Pepper Johnson,0,
BP596,The Manster,Debut,Big Pixel Battlefoil,Steel,SP,130,Randy White,0,
BP597,Woodchipper,Debut,Big Pixel Battlefoil,Steel,SP,130,Rod Woodson,0,
BP598,Gaultfather,Debut,Big Pixel Battlefoil,Steel,SP,130,Willie Gault,0,
BP599,Jolly Roger,Debut,Big Pixel Battlefoil,Steel,SP,130,Roger Craig,0,
BP600,Sevenring,First Edition,Big Pixel Battlefoil,Steel,SP,170,Tom Brady,0,
BP601,Joe Cool,First Edition,Big Pixel Battlefoil,Steel,SP,170,Joe Montana,0,
BP602,Neon,First Edition,Big Pixel Battlefoil,Steel,SP,165,Deion Sanders,0,
BP603,Sheriff,First Edition,Big Pixel Battlefoil,Steel,SP,165,Peyton Manning,0,
BP604,Sweetest of Sweet,First Edition,Big Pixel Battlefoil,Steel,SP,155,Walter Payton,0,
BP605,Hands,First Edition,Big Pixel Battlefoil,Steel,SP,155,Jerry Rice,0,
BP606,Hands,First Edition,Big Pixel Battlefoil,Steel,,130,Jerry Rice,0,
BP607,Joe Cool,First Edition,Big Pixel Battlefoil,Steel,,130,Joe Montana,0,
BP608,Merlomes,Tecmo Bowl,Big Pixel Battlefoil,Steel,,130,Patrick Mahomes,0,
BP609,Dart-Board,Tecmo Bowl,Big Pixel Battlefoil,Steel,,130,Jaxson Dart,0,
BP610,Bison,Tecmo Bowl,Big Pixel Battlefoil,Steel,,130,Josh Allen,0,
BP611,Warp,Tecmo Bowl,Big Pixel Battlefoil,Steel,,130,Lamar Jackson,0,
BP612,Bayou,Tecmo Bowl,Big Pixel Battlefoil,Steel,,125,Ja'Marr Chase,0,
BP613,J-Jetts,Tecmo Bowl,Big Pixel Battlefoil,Steel,,125,Justin Jefferson,0,
BP614,Reindeer Hunter,First Edition,Big Pixel Battlefoil,Steel,,125,Myles Garrett,0,
BP615,Swervin’,First Edition,Big Pixel Battlefoil,Steel,,125,Michael Irvin,0,
BP616,MoD,First Edition,Big Pixel Battlefoil,Steel,,125,Reggie White,0,
BP617,Quads,First Edition,Big Pixel Battlefoil,Steel,,125,Saquon Barkley,0,
BP618,Darn Old,First Edition,Big Pixel Battlefoil,Steel,,120,Sam Darnold,0,
BP619,Phoenix,Tecmo Bowl,Big Pixel Battlefoil,Steel,,120,Bo Nix,0,
BP620,Jax-In-the-Box,First Edition,Big Pixel Battlefoil,Steel,,120,Jaxon Smith-Njigba,0,
BP621,Eagle-Eye,Tecmo Bowl,Big Pixel Battlefoil,Steel,,120,Jalen Hurts,0,
BP622,Shrouded,Tecmo Bowl,Big Pixel Battlefoil,Steel,,120,C.J. Stroud,0,
BP623,Myracle,First Edition,Big Pixel Battlefoil,Steel,,120,Jahmyr Gibbs,0,
BP624,Skatter,First Edition,Big Pixel Battlefoil,Steel,,115,Cam Skattebo,0,
BP625,Warden,Tecmo Bowl,Big Pixel Battlefoil,Steel,,115,Cam Ward,0,
BP626,Yeti,Tecmo Bowl,Big Pixel Battlefoil,Steel,,115,Travis Kelce,0,
BP627,BrockNess,Tecmo Bowl,Big Pixel Battlefoil,Steel,,115,Brock Bowers,0,
BP628,McArmyKnife,Tecmo Bowl,Big Pixel Battlefoil,Steel,,115,Christian McCaffrey,0,
BP629,Muffin Man,First Edition,Big Pixel Battlefoil,Steel,,115,Baker Mayfield,0,
BP630,Youngblood,First Edition,Big Pixel Battlefoil,Steel,,110,Bryce Young,0,
BP631,Switchblade,Tecmo Bowl,Big Pixel Battlefoil,Steel,,110,Travis Hunter,0,
BP632,McVillain,First Edition,Big Pixel Battlefoil,Steel,,110,Tetairoa McMillan,0,
BP633,Quarter Staff,First Edition,Big Pixel Battlefoil,Steel,,110,Matthew Stafford,0,
BP634,Judkernaught,First Edition,Big Pixel Battlefoil,Steel,,110,Quinshon Judkins,0,
BP635,Jeanetic,Tecmo Bowl,Big Pixel Battlefoil,Steel,,110,Ashton Jeanty,0,
BP636,Coinslot,First Edition,Big Pixel Battlefoil,Steel,,105,Daniel Jones,0,
BP637,Chanesaw,First Edition,Big Pixel Battlefoil,Steel,,105,Devon Achane,0,
BP638,Mr. Irrelevant,Tecmo Bowl,Big Pixel Battlefoil,Steel,,105,Brock Purdy,0,
BP639,Shadowstrike,First Edition,Big Pixel Battlefoil,Steel,,105,Davante Adams,0,
BP640,Shepherd,Tecmo Bowl,Big Pixel Battlefoil,Steel,,105,CeeDee Lamb,0,
BP641,Scary,Tecmo Bowl,Big Pixel Battlefoil,Steel,,105,Terry McLaurin,0,
BP642,Lawman,Tecmo Bowl,Big Pixel Battlefoil,Steel,,100,Trevor Lawrence,0,
BP643,Buttman,First Edition,Big Pixel Battlefoil,Steel,,100,Marion Butts,0,
BP644,Criscross,First Edition,Big Pixel Battlefoil,Steel,,100,Cris Carter,0,
BP645,Rockhead,First Edition,Big Pixel Battlefoil,Steel,,100,Chris Doleman,0,
BP646,Brawn,Tecmo Bowl,Big Pixel Battlefoil,Steel,,100,A.J. Brown,0,
BP647,DeVaulta,First Edition,Big Pixel Battlefoil,Steel,,100,DeVonta Smith,0,
BP648,Hot Sauce,First Edition,Big Pixel Battlefoil,Steel,,95,Sauce Gardener,0,
BP649,First Leap,First Edition,Big Pixel Battlefoil,Steel,,95,LeRoy Butler,0,
BP650,Friday,First Edition,Big Pixel Battlefoil,Steel,,95,Deebo Samuel,0,
BP651,Barreler,Tecmo Bowl,Big Pixel Battlefoil,Steel,,95,Cooper Kupp,0,
BP652,Watterslide,First Edition,Big Pixel Battlefoil,Steel,,95,Ricky Watters,0,
BP653,Cannon,First Edition,Big Pixel Battlefoil,Steel,,95,Rich Gannon,0,
BP654,Furnest,First Edition,Big Pixel Battlefoil,Steel,,90,Earnest Byner,0,
BP655,Hot Rod,First Edition,Big Pixel Battlefoil,Steel,,90,Rodney Hampton,0,
BP656,Golden Bullet,Tecmo Bowl,Big Pixel Battlefoil,Steel,,90,Matthew Golden,0,
BP657,Billiard,First Edition,Big Pixel Battlefoil,Steel,,90,Dalton Hillard,0,
BP658,Ryptillian,First Edition,Big Pixel Battlefoil,Steel,,90,Mark Rypien,0,
BP659,Flippa,First Edition,Big Pixel Battlefoil,Steel,,90,Flipper Anderson,0,
BP660,Slaughterhouse,First Edition,Big Pixel Battlefoil,Steel,,85,Webster Slaughter,0,
BP661,Hammer,First Edition,Big Pixel Battlefoil,Steel,,85,Omarion Hampton,0,
BP662,Majik Man,First Edition,Big Pixel Battlefoil,Steel,,85,Don Majkowski,0,
BP663,A Bear,First Edition,Big Pixel Battlefoil,Steel,,85,Bobby Hebert,0,
BP664,Moose,First Edition,Big Pixel Battlefoil,Steel,,85,Daryl Johnston,0,
BP665,Hillicopter,First Edition,Big Pixel Battlefoil,Steel,,85,Drew Hill,0,
BP666,Bojax,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,180,Bo Jackson,0,
BP667,Attak,Unmasked,Big Pixel Battlefoil,Brawl,SP,180,Dak Prescott,0,
BP668,Pukadot,Unmasked,Big Pixel Battlefoil,Brawl,SP,180,Puka Nacua,0,
BP669,Duke of Denver,Debut,Big Pixel Battlefoil,Brawl,SP,160,John Elway,0,
BP670,Brees,Debut,Big Pixel Battlefoil,Brawl,SP,160,Drew Brees,0,
BP671,Fear Himself,Debut,Big Pixel Battlefoil,Brawl,SP,160,Lawrence Taylor,0,
BP672,Mossed,Debut,Big Pixel Battlefoil,Brawl,SP,160,Randy Moss,0,
BP673,Nigerian Nightmare,Debut,Big Pixel Battlefoil,Brawl,SP,160,Christian Okoye,0,
BP674,Marino,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,155,Dan Marino,0,
BP675,Young-Gunner,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,155,Steve Young,0,
BP676,Gronk,Debut,Big Pixel Battlefoil,Brawl,SP,155,Rob Gronkowski,0,
BP677,Hitt Man,Debut,Big Pixel Battlefoil,Brawl,SP,155,Ronnie Lott,0,
BP678,Island Time,Debut,Big Pixel Battlefoil,Brawl,SP,155,Darrelle Revis,0,
BP679,Emmitt-164,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,155,Emmitt Smith,0,
BP680,Troy of Dallas,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,150,Troy Aikman,0,
BP681,Goggles,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,150,Eric Dickerson,0,
BP682,Howietzer,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,150,Howie Long,0,
BP683,Thurmanator,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,150,Thurman Thomas,0,
BP684,Bus,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,150,Jerome Bettis,0,
BP685,Machine Gun,Debut,Big Pixel Battlefoil,Brawl,SP,150,Jim Kelly,0,
BP686,Cutback,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,145,Barry Sanders,0,
BP687,Sea-Largent,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,145,Steve Largent,0,
BP688,Boz,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,145,Brian Bosworth,0,
BP689,Allenwrench,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,145,Marcus Allen,0,
BP690,Ultimate Weapon,Debut,Big Pixel Battlefoil,Brawl,SP,145,Randall Cunningham,0,
BP691,Shuffler,Debut,Big Pixel Battlefoil,Brawl,SP,145,Jim McMahon,0,
BP692,Boom,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,140,Boomer Esiason,0,
BP693,Dentist,Debut,Big Pixel Battlefoil,Brawl,SP,140,Richard Dent,0,
BP694,Vinniverde,Debut,Big Pixel Battlefoil,Brawl,SP,140,Vinny Testaverde,0,
BP695,Afterbern,Debut,Big Pixel Battlefoil,Brawl,SP,140,Bernie Kosar,0,
BP696,Sack King,Debut,Big Pixel Battlefoil,Brawl,SP,140,Bruce Smith,0,
BP697,Incredible Faulk,Debut,Big Pixel Battlefoil,Brawl,SP,140,Marshall Faulk,0,
BP698,Mann-O-War,Debut,Big Pixel Battlefoil,Brawl,SP,140,Charles Mann,0,
BP699,Timmy,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,135,Tim Brown,0,
BP700,Haley's Comet,Debut,Big Pixel Battlefoil,Brawl,SP,135,Charles Haley,0,
BP701,Ickey,Debut,Big Pixel Battlefoil,Brawl,SP,135,Ickey Woods,0,
BP702,Full Moon,Debut,Big Pixel Battlefoil,Brawl,SP,135,Warren Moon,0,
BP703,Philament,Debut,Big Pixel Battlefoil,Brawl,SP,135,Phil Simms,0,
BP704,Key Keeper,Debut,Big Pixel Battlefoil,Brawl,SP,135,Luke Kuechly,0,
BP705,T.D.,Debut,Big Pixel Battlefoil,Brawl,SP,135,Tony Dorsett,0,
BP706,Sterling,Tecmo Bowl,Big Pixel Battlefoil,Brawl,SP,130,Sterling Sharpe,0,
BP707,Too Tall,Debut,Big Pixel Battlefoil,Brawl,SP,130,"Ed ""Too Tall"" Jones",0,
BP708,Fridge,Debut,Big Pixel Battlefoil,Brawl,SP,130,William Perry,0,
BP709,Samurai Mike,Debut,Big Pixel Battlefoil,Brawl,SP,130,Mike Singletary,0,
BP710,Monk,Debut,Big Pixel Battlefoil,Brawl,SP,130,Art Monk,0,
BP711,Krieghawk,Debut,Big Pixel Battlefoil,Brawl,SP,130,Dave Krieg,0,
BP712,Undrafted Wrecking Ball,Debut,Big Pixel Battlefoil,Brawl,SP,130,Gary Clark,0,
BP713,Highjump,Debut,Big Pixel Battlefoil,Brawl,SP,130,Alonzo Highsmith,0,
BP714,Curt Locker,Debut,Big Pixel Battlefoil,Brawl,SP,130,Curt Warner,0,
BP715,Calf Roper,Debut,Big Pixel Battlefoil,Brawl,SP,125,Eric Metcalf,0,
BP716,Novacaine,Debut,Big Pixel Battlefoil,Brawl,SP,125,Jay Novacek,0,
BP717,Carrier,Debut,Big Pixel Battlefoil,Brawl,SP,125,Mark Carrier,0,
BP718,Amigo One,Debut,Big Pixel Battlefoil,Brawl,SP,125,Mark Jackson,0,
BP719,Quick Draw,Debut,Big Pixel Battlefoil,Brawl,SP,125,Mike Quick,0,
BP720,Bank Robber,Debut,Big Pixel Battlefoil,Brawl,SP,125,Carl Banks,0,
BP721,Claymore,Debut,Big Pixel Battlefoil,Brawl,SP,125,Clay Matthews Jr.,0,
BP722,Biscuit,Debut,Big Pixel Battlefoil,Brawl,SP,125,Cornelius Bennett,0,
BP723,Underdoug,Debut,Big Pixel Battlefoil,Brawl,SP,125,Doug Williams,0,
BP724,Mountain Drew,Debut,Big Pixel Battlefoil,Brawl,SP,120,Drew Bledsoe,0,
BP725,Dwight Noise,Debut,Big Pixel Battlefoil,Brawl,SP,120,Dwight Stephenson,0,
BP726,Green Light,Debut,Big Pixel Battlefoil,Brawl,SP,120,Harold Green,0,
BP727,K-Mack,Debut,Big Pixel Battlefoil,Brawl,SP,120,Kevin Mack,0,
BP728,Pepper Spray,Debut,Big Pixel Battlefoil,Brawl,SP,120,Pepper Johnson,0,
BP729,The Manster,Debut,Big Pixel Battlefoil,Brawl,SP,120,Randy White,0,
BP730,Woodchipper,Debut,Big Pixel Battlefoil,Brawl,SP,120,Rod Woodson,0,
BP731,Gaultfather,Debut,Big Pixel Battlefoil,Brawl,SP,120,Willie Gault,0,
BP732,Jolly Roger,Debut,Big Pixel Battlefoil,Brawl,SP,120,Roger Craig,0,
BP733,Sevenring,First Edition,Big Pixel Battlefoil,Brawl,SP,180,Tom Brady,0,
BP734,Joe Cool,First Edition,Big Pixel Battlefoil,Brawl,SP,160,Joe Montana,0,
BP735,Neon,First Edition,Big Pixel Battlefoil,Brawl,SP,160,Deion Sanders,0,
BP736,Sheriff,First Edition,Big Pixel Battlefoil,Brawl,SP,160,Peyton Manning,0,
BP737,Sweetest of Sweet,First Edition,Big Pixel Battlefoil,Brawl,SP,155,Walter Payton,0,
BP738,Hands,First Edition,Big Pixel Battlefoil,Brawl,SP,155,Jerry Rice,0,
BP739,Hands,First Edition,Big Pixel Battlefoil,Brawl,,120,Jerry Rice,0,
BP740,Joe Cool,First Edition,Big Pixel Battlefoil,Brawl,,120,Joe Montana,0,
BP741,Merlomes,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,120,Patrick Mahomes,0,
BP742,Dart-Board,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,120,Jaxson Dart,0,
BP743,Bison,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,120,Josh Allen,0,
BP744,Warp,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,120,Lamar Jackson,0,
BP745,Bayou,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,115,Ja'Marr Chase,0,
BP746,J-Jetts,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,115,Justin Jefferson,0,
BP747,Reindeer Hunter,First Edition,Big Pixel Battlefoil,Brawl,,115,Myles Garrett,0,
BP748,Swervin’,First Edition,Big Pixel Battlefoil,Brawl,,115,Michael Irvin,0,
BP749,MoD,First Edition,Big Pixel Battlefoil,Brawl,,115,Reggie White,0,
BP750,Quads,First Edition,Big Pixel Battlefoil,Brawl,,115,Saquon Barkley,0,
BP751,Darn Old,First Edition,Big Pixel Battlefoil,Brawl,,110,Sam Darnold,0,
BP752,Phoenix,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,110,Bo Nix,0,
BP753,Jax-In-the-Box,First Edition,Big Pixel Battlefoil,Brawl,,110,Jaxon Smith-Njigba,0,
BP754,Eagle-Eye,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,110,Jalen Hurts,0,
BP755,Shrouded,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,110,C.J. Stroud,0,
BP756,Myracle,First Edition,Big Pixel Battlefoil,Brawl,,110,Jahmyr Gibbs,0,
BP757,Skatter,First Edition,Big Pixel Battlefoil,Brawl,,105,Cam Skattebo,0,
BP758,Warden,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,105,Cam Ward,0,
BP759,Yeti,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,105,Travis Kelce,0,
BP760,BrockNess,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,105,Brock Bowers,0,
BP761,McArmyKnife,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,105,Christian McCaffrey,0,
BP762,Muffin Man,First Edition,Big Pixel Battlefoil,Brawl,,105,Baker Mayfield,0,
BP763,Youngblood,First Edition,Big Pixel Battlefoil,Brawl,,100,Bryce Young,0,
BP764,Switchblade,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,100,Travis Hunter,0,
BP765,McVillain,First Edition,Big Pixel Battlefoil,Brawl,,100,Tetairoa McMillan,0,
BP766,Quarter Staff,First Edition,Big Pixel Battlefoil,Brawl,,100,Matthew Stafford,0,
BP767,Judkernaught,First Edition,Big Pixel Battlefoil,Brawl,,100,Quinshon Judkins,0,
BP768,Jeanetic,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,100,Ashton Jeanty,0,
BP769,Coinslot,First Edition,Big Pixel Battlefoil,Brawl,,95,Daniel Jones,0,
BP770,Chanesaw,First Edition,Big Pixel Battlefoil,Brawl,,95,Devon Achane,0,
BP771,Mr. Irrelevant,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,95,Brock Purdy,0,
BP772,Shadowstrike,First Edition,Big Pixel Battlefoil,Brawl,,95,Davante Adams,0,
BP773,Shepherd,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,95,CeeDee Lamb,0,
BP774,Scary,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,95,Terry McLaurin,0,
BP775,Lawman,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,90,Trevor Lawrence,0,
BP776,Buttman,First Edition,Big Pixel Battlefoil,Brawl,,90,Marion Butts,0,
BP777,Criscross,First Edition,Big Pixel Battlefoil,Brawl,,90,Cris Carter,0,
BP778,Rockhead,First Edition,Big Pixel Battlefoil,Brawl,,90,Chris Doleman,0,
BP779,Brawn,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,90,A.J. Brown,0,
BP780,DeVaulta,First Edition,Big Pixel Battlefoil,Brawl,,90,DeVonta Smith,0,
BP781,Hot Sauce,First Edition,Big Pixel Battlefoil,Brawl,,85,Sauce Gardener,0,
BP782,First Leap,First Edition,Big Pixel Battlefoil,Brawl,,85,LeRoy Butler,0,
BP783,Friday,First Edition,Big Pixel Battlefoil,Brawl,,85,Deebo Samuel,0,
BP784,Barreler,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,85,Cooper Kupp,0,
BP785,Watterslide,First Edition,Big Pixel Battlefoil,Brawl,,85,Ricky Watters,0,
BP786,Cannon,First Edition,Big Pixel Battlefoil,Brawl,,85,Rich Gannon,0,
BP787,Furnest,First Edition,Big Pixel Battlefoil,Brawl,,80,Earnest Byner,0,
BP788,Hot Rod,First Edition,Big Pixel Battlefoil,Brawl,,80,Rodney Hampton,0,
BP789,Golden Bullet,Tecmo Bowl,Big Pixel Battlefoil,Brawl,,80,Matthew Golden,0,
BP790,Billiard,First Edition,Big Pixel Battlefoil,Brawl,,80,Dalton Hillard,0,
BP791,Ryptillian,First Edition,Big Pixel Battlefoil,Brawl,,80,Mark Rypien,0,
BP792,Flippa,First Edition,Big Pixel Battlefoil,Brawl,,80,Flipper Anderson,0,
BP793,Slaughterhouse,First Edition,Big Pixel Battlefoil,Brawl,,75,Webster Slaughter,0,
BP794,Hammer,First Edition,Big Pixel Battlefoil,Brawl,,75,Omarion Hampton,0,
BP795,Majik Man,First Edition,Big Pixel Battlefoil,Brawl,,75,Don Majkowski,0,
BP796,A Bear,First Edition,Big Pixel Battlefoil,Brawl,,75,Bobby Hebert,0,
BP797,Moose,First Edition,Big Pixel Battlefoil,Brawl,,75,Daryl Johnston,0,
BP798,Hillicopter,First Edition,Big Pixel Battlefoil,Brawl,,75,Drew Hill,0,
RQ1,BoJax,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,200,Bo Jackson,0,
RQ2,Attak,Unmasked,Rage Quit Battlefoil,Alt,SSP,195,Dak Prescott,0,
RQ3,Pukadot,Unmasked,Rage Quit Battlefoil,Alt,SSP,195,Puka Nacua,0,
RQ4,Duke of Denver,Debut,Rage Quit Battlefoil,Alt,SSP,190,John Elway,0,
RQ5,Breesus,Debut,Rage Quit Battlefoil,Alt,SSP,190,Drew Brees,0,
RQ6,Fear Himself,Debut,Rage Quit Battlefoil,Alt,SSP,190,Lawrence Taylor,0,
RQ7,Mossed,Debut,Rage Quit Battlefoil,Alt,SSP,190,Randy Moss,0,
RQ8,Nigerian Nightmare,Debut,Rage Quit Battlefoil,Alt,SSP,190,Christian Okoye,0,
RQ9,Marino,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,185,Dan Marino,0,
RQ10,Young-Gunner,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,185,Steve Young,0,
RQ11,Gronk,Debut,Rage Quit Battlefoil,Alt,SSP,185,Rob Gronkowski,0,
RQ12,Hitt Man,Debut,Rage Quit Battlefoil,Alt,SSP,185,Ronnie Lott,0,
RQ13,Island Time,Debut,Rage Quit Battlefoil,Alt,SSP,185,Darrelle Revis,0,
RQ14,Emmitt-164,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,185,Emmitt Smith,0,
RQ15,Troy of Dallas,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,180,Troy Aikman,0,
RQ16,Goggles,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,180,Eric Dickerson,0,
RQ17,Howietzer,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,180,Howie Long,0,
RQ18,Thurmanator,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,180,Thurman Thomas,0,
RQ19,Bus,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,180,Jerome Bettis,0,
RQ20,Machine Gun,Debut,Rage Quit Battlefoil,Alt,SSP,180,Jim Kelly,0,
RQ21,Cutback,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,175,Barry Sanders,0,
RQ22,Sea-Largent,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,175,Steve Largent,0,
RQ23,Boz,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,175,Brian Bosworth,0,
RQ24,Allenwrench,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,175,Marcus Allen,0,
RQ25,Ultimate Weapon,Debut,Rage Quit Battlefoil,Alt,SSP,175,Randall Cunningham,0,
RQ26,Shuffler,Debut,Rage Quit Battlefoil,Alt,SSP,175,Jim McMahon,0,
RQ27,Dentist,Debut,Rage Quit Battlefoil,Alt,SSP,170,Richard Dent,0,
RQ28,Sack King,Debut,Rage Quit Battlefoil,Alt,SSP,170,Bruce Smith,0,
RQ29,Incredible Faulk,Debut,Rage Quit Battlefoil,Alt,SSP,170,Marshall Faulk,0,
RQ30,Mann-O-War,Debut,Rage Quit Battlefoil,Alt,SSP,170,Charles Mann,0,
RQ31,Timmy,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,165,Tim Brown,0,
RQ32,Haley's Comet,Debut,Rage Quit Battlefoil,Alt,SSP,165,Charles Haley,0,
RQ33,Ickey,Debut,Rage Quit Battlefoil,Alt,SSP,165,Ickey Woods,0,
RQ34,Fridge,Debut,Rage Quit Battlefoil,Alt,SSP,160,William Perry,0,
RQ35,Samurai Mike,Debut,Rage Quit Battlefoil,Alt,SSP,160,Mike Singletary,0,
RQ36,Monk,Debut,Rage Quit Battlefoil,Alt,SSP,160,Art Monk,0,
RQ37,Sevenring,First Edition,Rage Quit Battlefoil,Alt,SSP,190,Tom Brady,0,
RQ38,Joe Cool,First Edition,Rage Quit Battlefoil,Alt,SSP,185,Joe Montana,0,
RQ39,Sheriff,First Edition,Rage Quit Battlefoil,Alt,SSP,185,Peyton Manning,0,
RQ40,Sweetest of Sweet,First Edition,Rage Quit Battlefoil,Alt,SSP,180,Walter Payton,0,
RQ41,Hands,First Edition,Rage Quit Battlefoil,Alt,SSP,180,Jerry Rice,0,
RQ42,Merlomes,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,180,Patrick Mahomes,0,
RQ43,Dart-Board,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,180,Jaxson Dart,0,
RQ44,Bison,Tecmo Bowl,Rage Quit Battlefoil,Alt,SSP,180,Josh Allen,0,
